,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
115,115.0,115.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,115,115,-7.199969740934916,AF
116,116.0,116.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,116,116,-7.169060461554714,AF
117,117.0,117.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,117,117,-7.078080165399019,AF
118,118.0,118.0,0.7,0.7,0.7,0.7,0.0,AF,118,118,-7.206164478984097,AF
119,119.0,119.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,119,119,-7.4749832980766655,AF
120,120.0,120.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,120,120,-5.725371155136644,AF
121,121.0,121.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,121,121,-7.273747523561986,AF
122,122.0,122.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,122,122,-7.831341034466845,AF
123,123.0,123.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,123,123,-7.423654756845955,AF
124,124.0,124.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,124,124,-7.445612572137869,AF
125,125.0,125.0,0.7,0.7,0.7,0.7,0.0,AF,125,125,-7.015153408952579,AF
126,126.0,126.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,126,126,-7.28958717455277,AF
127,127.0,127.0,0.797,1.003,0.8999999999999999,0.8999999999999999,0.1456639969244286,AF,127,127,-6.664808237874294,AF
128,128.0,128.0,0.6,1.0,0.8,0.8,0.282842712474619,AF,128,128,-8.066682410863043,AF
129,129.0,129.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,129,129,-6.946819960075988,AF
130,130.0,130.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,130,130,-6.503302656262374,AF
131,131.0,131.0,0.837,0.961,0.899,0.899,0.0876812408671318,AF,131,131,-6.699076264170932,AF
132,132.0,132.0,0.8,1.0,0.9,0.9,0.1414213562373094,AF,132,132,-7.041791722740378,AF
