,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
213,213.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,213,213,-7.534513216557369,AF
214,214.0,0.7,0.7,0.7,0.7,0.0,AF,214,214,-7.760589579695997,AF
215,215.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,215,215,-7.079039112189323,AF
216,216.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,216,216,-6.716570326293564,AF
217,217.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,217,217,-6.535822124477633,AF
218,218.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,218,218,-7.046723470538446,AF
219,219.0,0.7,0.7,0.7,0.7,0.0,AF,219,219,-7.006444739941283,AF
220,220.0,0.096,0.248,0.1624,0.128,0.07029082443676415,PVC,220,220,-7.202062279798392,AF
221,221.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,221,221,-6.784259200618307,AF
222,222.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,222,222,-7.62813355162956,AF
223,223.0,0.6,1.2,0.87,0.8500000000000001,0.18885620632287065,PVC,223,223,-7.116986105517986,AF
224,224.0,-100.0,-100.0,-100.0,-100.0,-100.0,N,224,224,-7.292962822084236,AF
225,225.0,0.068,0.252,0.156,0.152,0.078655366420014,PVC,225,225,-7.580458448158637,AF
226,226.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,226,226,-7.3337749080823675,AF
227,227.0,0.6,0.9,0.75,0.75,0.21213203435596428,AF,227,227,-7.3230240001788305,AF
228,228.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,228,228,-7.621300302279786,AF
229,229.0,0.85,1.034,0.9420000000000001,0.9420000000000001,0.13010764773832478,AF,229,229,-7.047408017492503,AF
230,230.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,230,230,-7.577039761983893,AF
231,231.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,231,231,-6.95976826887696,AF
232,232.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,232,232,-6.850060770643892,AF
233,233.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,233,233,-6.919777062830121,AF
234,234.0,0.8,0.8,0.8,0.8,0.0,AF,234,234,-6.691125358805556,AF
235,235.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,235,235,-7.227171636904856,AF
236,236.0,0.765,1.081,0.9229999999999999,0.9229999999999999,0.22344574285494895,AF,236,236,-7.4465717655672,AF
